,ATC_Code,cids,Compound_Name,inchi_key,pert_id
0,N05AX17,10071196,Pimavanserin,RKEWSXXUOLRFBX-UHFFFAOYSA-N,BRD-K83405785
1,L01EX06,10074640,Masitinib,WJEOLQLKVOPQFV-UHFFFAOYSA-N,BRD-K71035033
2,B01AC26,10077130,Vorapaxar,ZBGXUVOIWDMMJE-QHNZEKIYSA-N,BRD-K93442924
3,A10BH05,10096344,Linagliptin,LTXREWYXXSTFRX-QGZVFWFLSA-N,BRD-K96550715
4,L01EX03,10113978,Pazopanib,CUIHSIWYWATEQL-UHFFFAOYSA-N,BRD-K74514084
5,L01EE04,10127622,Selumetinib,CYOHGALHFOKKQC-UHFFFAOYSA-N,BRD-K57080016
6,A05AA01,10133,Chenodeoxycholic acid,RUDATBOHQWOJDD-BSWAIDMHSA-N,BRD-K18135438
7,B01AF02,10182969,Apixaban,QNZCBYKSOIHPEH-UHFFFAOYSA-N,BRD-K67121414
8,L01EB03,10184653,Afatinib,ULXXDDBFHOBEHA-CWDCEQMOSA-N,BRD-K66175015
9,P01AX02,10219,Emetine,AUVVAXYIELKVAI-CKBKHPSWSA-N,BRD-K03067624
10,N07BA04,10235,Cytisine,ANJTVLIZGCUXLD-DTWKUNHWSA-N,BRD-K74186897
11,B01AF04,10275777,Betrixaban,XHOLNRLADUSQLD-UHFFFAOYSA-N,BRD-K45275534
12,L01EE03,10288191,Binimetinib,ACWZRVQXLIRSDF-UHFFFAOYSA-N,BRD-K82244583
13,M09AX11,10295295,Palovarotene,YTFHCXIPDIHOIA-DHZHZOJOSA-N,BRD-K83794243
14,C01BA01,10448938,Quinidine,LOUPRKONTZGTKE-FEBSWUBLSA-N,BRD-K99257182
15,A10BK05,10453870,Ipragliflozin,AHFWIQIYAXSLBA-RQXATKFSSA-N,BRD-K51247865
16,J04AK01,1046,Pyrazinamide,IPEHBUMCGVEMRF-UHFFFAOYSA-N,BRD-K28667793
17,L02BA03,104741,Fulvestrant,VWUXBMIQPBEWFH-WCCTWKNTSA-N,BRD-A85667082
18,N01AX05,104845,Alfaxalone,DUHUCHOQIDJXAT-OLVMNOGESA-N,BRD-K41445866
19,A08AX01,104850,Rimonabant,JZCPYUJPEARBJL-UHFFFAOYSA-N,BRD-K13296708
20,C02KX01,104865,Bosentan,GJPICJJJRGTNOD-UHFFFAOYSA-N,BRD-K74763371
21,N02CA01,10531,Dihydroergotamine,LUZRJRNZXALNLM-JGRZULCMSA-N,BRD-K72166146
22,A11HA02,1054,Pyridoxine (vit B6),LXNHXLLTXMVWPM-UHFFFAOYSA-N,BRD-K14349461
23,D06BB04,10607,Podophyllotoxin,YJGVMLPVUAXIQN-XVVDYKMHSA-N,BRD-K47869605
24,G03AC06,10631,Medroxyprogesterone,FRQMUZJSZHZSGN-HBNHAYAOSA-N,BRD-K99615199
25,A14AA01,10635,Androstanolone,NVKAWKQGWWIWPM-ABEVXSGRSA-N,BRD-K22525962
26,C01BA01,1065,Quinidine,LOUPRKONTZGTKE-UHFFFAOYSA-N,BRD-A64479082
27,B01AC10,107641,Indobufen,AYDXAULLCROVIT-UHFFFAOYSA-N,BRD-A16296925
28,C04AE04,107715,Dihydroergocristine,DEQITUUQPICUMR-HJPBWRTMSA-N,BRD-K97440753
29,A07XA04,107751,Racecadotril,ODUOJXZPIYUATO-UHFFFAOYSA-N,BRD-A08187463
30,C09AA04,107807,Perindopril,IPVQLZZIHOAWMC-QXKUPLGCSA-N,BRD-K92731339
31,N05CM02,10783,Clomethiazole,PCLITLDOTJTVDJ-UHFFFAOYSA-N,BRD-K50422030
32,L04AA27,107970,Fingolimod,KKGQTZUTZRNORY-UHFFFAOYSA-N,BRD-K88025533
33,N07XX08,11001318,Tafamidis,TXEIIPDJKFWEEC-UHFFFAOYSA-N,BRD-K23728141
34,G04BE08,110635,Tadalafil,WOXKDUGGOYFFRN-IIBYNOLFSA-N,BRD-K93645900
35,L01EX05,11167602,Regorafenib,FNHKPVJBJVTLMP-UHFFFAOYSA-N,BRD-K16730910
36,M09AX03,11219835,Ataluren,OOUGLTULBSNHNF-UHFFFAOYSA-N,BRD-K94830329
37,J01XX11,11234049,Tedizolid,XFALPSLJIHVRKE-GFCCVEGCSA-N,BRD-K59436580
