,ATC_Code,cids,Compound_Name
0,V03AB22,10026,Amyl nitrite
1,A07AA12,10034073,Fidaxomicin
2,M01AB12,100472,Difenpiramide
3,N05AX17,10071196,Pimavanserin
4,L01EX06,10074640,Masitinib
5,B01AC26,10077130,Vorapaxar
6,G01AA04,10079874,Candicidin
7,N06BX15,10083,Pipradrol
8,J05AX17,10089466,Enisamium iodide
9,R05DA06,10090,Normethadone
10,A10BH05,10096344,Linagliptin
11,N02AC04,10100,Dextropropoxyphene
12,A02BX05,10101269,Bismuth subcitrate
13,N02AB01,10101,Ketobemidone
14,V09IX08,10103319,Fluoroethylcholine (18F)
15,B03AA10,101033550,Ferrous ascorbate
16,A02AC01,10112,Calcium carbonate
17,L01EX03,10113978,Pazopanib
18,D03AX10,10114,Enoxolone
19,L01EE04,10127622,Selumetinib
20,N06BA14,10130337,Solriamfetol
21,A07AA11,101307877,Rifaximin
22,A05AA01,10133,Chenodeoxycholic acid
23,M03AA01,101602193,Alcuronium
24,V08CA03,101673418,Gadodiamide
25,S01AE08,10178705,Besifloxacin
26,B01AF02,10182969,Apixaban
27,L01EB03,10184653,Afatinib
28,N05CC04,10188,Dichloralphenazone
29,D11AX04,10197702,Lithium succinate
30,A02BA05,10203245,Niperotidine
31,C01BA08,102058611,Prajmaline
32,A07AA02,102090452,Nystatin
33,P01AX02,10219,Emetine
34,N05CH03,10220503,Tasimelteon
35,G03DA01,102210,Gestonorone
36,P01BE05,10221470,Artenimol
37,C01BA12,102239676,Lorajmine
38,C02DB01,10230,Dihydralazine
39,N07BA04,10235,Cytisine
40,V04CE02,102371197,Sulfobromophthalein
41,M01CA03,10239,Oxycinchophen
42,N05BB02,10240,Captodiame
43,J01CE06,10250769,Penamecillin
44,N04AB01,10255142,Etanautine
45,D11AH02,102572331,Pimecrolimus
46,A07AA12,102580518,Fidaxomicin
47,N04AA09,102669,Phenglutarimide
48,B01AF04,10275777,Betrixaban
49,B01AF03,10280735,Edoxaban
50,L01EE03,10288191,Binimetinib
51,M09AX11,10295295,Palovarotene
52,R01BA01,10297,Phenylpropanolamine
53,A04AD14,10311306,Rolapitant
54,P01CD01,10311,Melarsoprol
55,C10AX08,1031,Policosanol
56,J05AP03,10324367,Boceprevir
57,A03BB04,10347880,Fentonium
58,C01CX06,10351092,Angiotensinamide
59,A14AA06,10360683,Quinbolone
60,A11CC06,10363641,Calcifediol
61,N03AX30,10391,Beclamide
62,P03AA01,10404,Dixanthogen
63,A03BB06,10429215,Homatropine methylbromide
64,D07AB05,10430619,Fluperolone
65,C04AC07,10444661,Ciclonicate
66,C01BA01,10448938,Quinidine
67,M01CB05,10452965,Aurotioprol
68,A10BK05,10453870,Ipragliflozin
69,B03AA06,10464762,Ferrous succinate
70,J04AK01,1046,Pyrazinamide
71,C10AX15,10472693,Bempedoic acid
72,L02BA03,104741,Fulvestrant
73,L01AD05,104799,Fotemustine
74,A16AX09,10482134,Glycerol phenylbutyrate
75,N01AX05,104845,Alfaxalone
76,A08AX01,104850,Rimonabant
77,C02KX01,104865,Bosentan
78,P01BE02,104888,Artemether
79,N07XX01,104903,Tirilazad
80,P03BA01,104926,Cyfluthrin
81,P01BE03,105031,Artesunate
82,B02AB05,105102,Ulinastatin
83,N05CA11,10518,Heptabarbital
84,A11HA06,1051,Pyridoxal phosphate
85,N02CA01,10531,Dihydroergotamine
86,S01EB03,10548,Ecothiopate
87,A11HA02,1054,Pyridoxine (vit B6)
88,G03CB03,10599,Methallenestril
89,D06BB04,10607,Podophyllotoxin
90,R05DB28,10610,Dimethoxanate
91,L01CA05,10629256,Vinflunine
92,N03AC03,10630,Ethadione
93,G03AC06,10631,Medroxyprogesterone
94,A14AA01,10635,Androstanolone
95,M09AA01,10651,Hydroquinine
96,C01BA01,1065,Quinidine
97,J01DD01,10695961,Cefotaxime
98,N05CM12,10715,Apronal
99,B01AC10,107641,Indobufen
100,C04AE04,107715,Dihydroergocristine
101,A07XA04,107751,Racecadotril
102,P01BE05,107770,Artenimol
103,C09AA04,107807,Perindopril
104,N05CM02,10783,Clomethiazole
105,C01BC09,107841,Ethacizine
106,H01CB03,10796238,Lanreotide
107,L04AA27,107970,Fingolimod
108,L01CX01,108150,Trabectedin
