cids	inchi_key
10026	CSDTZUBPSYWZDX-UHFFFAOYSA-N
10034073	ZVGNESXIJDCBKN-UUEYKCAUSA-N
100472	PWHROYKAGRUWDQ-UHFFFAOYSA-N
10071196	RKEWSXXUOLRFBX-UHFFFAOYSA-N
10074640	WJEOLQLKVOPQFV-UHFFFAOYSA-N
10077130	ZBGXUVOIWDMMJE-QHNZEKIYSA-N
10079874	OPGSFDUODIJJGF-JBUZINEHSA-N
10083	XSWHNYGMWWVAIE-UHFFFAOYSA-N
10089466	ILSOAHPXYZRFBA-UHFFFAOYSA-N
10090	WCJFBSYALHQBSK-UHFFFAOYSA-N
10096344	LTXREWYXXSTFRX-QGZVFWFLSA-N
10100	XLMALTXPSGQGBX-GCJKJVERSA-N
10101269	ZQUAVILLCXTKTF-UHFFFAOYSA-H
10101	ALFGKMXHOUSVAD-UHFFFAOYSA-N
10103319	XUUGOSKUEDWDAS-COJKEBBMSA-N
101033550	RFBYLSCVRUTUSB-ZZMNMWMASA-L
10112	VTYYLEPIZMXCLO-UHFFFAOYSA-L
10113978	CUIHSIWYWATEQL-UHFFFAOYSA-N
10114	MPDGHEJMBKOTSU-YKLVYJNSSA-N
10127622	CYOHGALHFOKKQC-UHFFFAOYSA-N
10130337	UCTRAOBQFUDCSR-SECBINFHSA-N
101307877	NZCRJKRKKOLAOJ-KPKMWDGOSA-N
10133	RUDATBOHQWOJDD-BSWAIDMHSA-N
101602193	MUQUYTSLDVKIOF-XVLZJUAUSA-N
101673418	HZHFFEYYPYZMNU-UHFFFAOYSA-K
10178705	QFFGVLORLPOAEC-SNVBAGLBSA-N
10182969	QNZCBYKSOIHPEH-UHFFFAOYSA-N
10184653	ULXXDDBFHOBEHA-CWDCEQMOSA-N
10188	ATKXDQOHNICLQW-UHFFFAOYSA-N
10197702	WAHQBNXSPALNEA-UHFFFAOYSA-L
10203245	HXRSXEDVVARPHP-NDENLUEZSA-N
102058611	UAUHEPXILIZYCU-BRINTXMHSA-N
102090452	VQOXZBDYSJBXMA-QHDAMUOASA-N
10219	AUVVAXYIELKVAI-CKBKHPSWSA-N
10220503	PTOIAAWZLUQTIO-GXFFZTMASA-N
102210	GTFUITFQDGVJSK-XGXHKTLJSA-N
10221470	BJDCWCLMFKKGEE-CMDXXVQNSA-N
102239676	LAHDERDHXJFFJU-QFJAQRJESA-N
10230	VQKLRVZQQYVIJW-UHFFFAOYSA-N
10235	ANJTVLIZGCUXLD-DTWKUNHWSA-N
102371197	GHAFORRTMVIXHS-UHFFFAOYSA-L
10239	XAPRFLSJBSXESP-UHFFFAOYSA-N
