,sig_id
0,LIVB001_HUH7_72H:O22
1,CPC004_PC3_24H:BRD-K32830106-001-01-8:10
2,CPC015_MCF7_6H:K22
3,CPC015_A375_6H:BRD-K32830106-001-01-8:10
4,CPC004_MCF7_6H:BRD-K32830106-001-01-8:10
5,CPC004_A375_6H:BRD-K32830106-001-01-8:10
6,CPC004_HCC515_24H:BRD-K32830106-001-01-8:10
7,CPC004_VCAP_6H:BRD-K32830106-001-01-8:10
8,CPC015_NPC_24H:BRD-K32830106-001-01-8:10
9,CPC015_A549_24H:BRD-K32830106-001-01-8:10
10,CPC004_HEPG2_6H:BRD-K32830106-001-01-8:10
11,CPC004_HA1E_6H:BRD-K32830106-001-01-8:10
12,CPC015_ASC_24H:BRD-K32830106-001-01-8:10
13,CPC004_VCAP_24H:J07
14,CPC015_MCF7_24H:BRD-K32830106-001-01-8:10
15,CPC004_HA1E_24H:BRD-K32830106-001-01-8:10
16,CPC015_HEPG2_6H:BRD-K32830106-001-01-8:10
17,CPC015_PHH_24H:BRD-K32830106-001-01-8:10
18,CPC004_HCC515_6H:BRD-K32830106-001-01-8:10
19,CPC015_A549_6H:BRD-K32830106-001-01-8:10
20,CPC004_HT29_6H:BRD-K32830106-001-01-8:10
21,CPC004_PC3_6H:BRD-K32830106-001-01-8:10
22,CPC015_SKB_24H:BRD-K32830106-001-01-8:10
23,CPC015_HT29_6H:BRD-K32830106-001-01-8:10
24,PAC003_U2OS_6H:BRD-K32830106-003-11-3:10
25,CPD003_PC3_24H:BRD-A20119038-003-06-0:10
26,CPD003_PC3_6H:P04
27,CPD003_MCF7_6H:BRD-A20119038-003-06-0:10
28,CPD003_MCF7_24H:P04
29,REP.A004_PC3_24H:E03
30,REP.A004_A375_24H:E04
31,REP.A004_HA1E_24H:E04
32,REP.B004_A375_24H:E05
33,REP.A004_HEK293_24H:E03
34,REP.B004_HELA_24H:E03
35,REP.A004_HEK293_24H:E02
36,REP.A004_A549_24H:E02
37,REP.B004_HA1E_24H:E02
38,REP.A004_A375_24H:E01
39,REP.B004_A549_24H:E06
40,REP.A004_PC3_24H:E04
41,REP.B004_HELA_3H:E01
42,REP.A004_A375_24H:E03
43,REP.A004_HEK293_24H:E04
44,REP.A004_XC.L10_24H:E03
45,REP.B004_A549_24H:E05
46,REP.A004_HEK293_24H:E06
47,REP.B004_HELA_3H:E06
48,REP.A004_HELA_3H:E02
49,REP.A004_YAPC_24H:E04
50,REP.A004_HELA_24H:E01
51,REP.B004_HELA_24H:E04
52,REP.B004_HELA_3H:E05
53,REP.A004_MCF7_24H:E04
54,REP.B004_A549_24H:E04
55,REP.A004_HT29_24H:E05
56,REP.B004_HT29_24H:E03
57,REP.B004_PC3_24H:E04
58,REP.B004_PC3_24H:E06
59,REP.A004_PC3_24H:E01
60,REP.B004_HELA_24H:E02
61,REP.B004_A375_24H:E02
62,REP.B004_A375_24H:E04
63,REP.A004_A549_24H:E01
64,REP.B004_PC3_24H:E02
65,REP.B004_HELA_3H:E03
66,REP.B004_HELA_24H:E01
67,REP.A004_A375_24H:E02
68,REP.B004_HT29_24H:E06
69,REP.B004_PC3_24H:E01
70,REP.A004_HELA_24H:E06
71,REP.A004_HT29_24H:E01
72,REP.B004_HT29_24H:E05
73,REP.B004_A375_24H:E06
74,REP.A004_HELA_3H:E05
75,REP.A004_MCF7_24H:E05
76,REP.B004_A375_24H:E01
