,sig_id
0,ABY001_A549_XH:BRD-K81418486:10:3
1,LTC002_HME1_3H:BRD-K81418486:10
2,LTC008_MDAMB231_3H:BRD-K81418486:10
3,RAD001_MCF7_24H:BRD-K81418486-001-18-6:10
4,RAD001_MCF7_24H:BRD-K81418486-001-18-6:3.3333
5,RAD001_PC3_6H:BRD-K81418486-001-18-6:0.1235
6,RAD001_MCF7_6H:BRD-K81418486-001-18-6:0.0015
7,NMH001_FIBRNPC_6H:BRD-K81418486-001-22-8:10
8,HOG003_A549_24H:BRD-K81418486-001-32-7:1.11
9,POL001_PC3_24H:O01
10,CEGS001_NPC.215_24H:C20
11,HOG003_MCF7_6H:BRD-K81418486-001-32-7:0.3704
12,DTAK001_PC3_24H:BRD-K81418486:10
13,HOG003_MCF7_24H:BRD-K81418486-001-32-7:0.0412
14,MOA001_U2OS_24H:P11
15,DOSBIO002_A549_24H:BRD-K81418486:1.11111
16,NMH001_NPC_6H:BRD-K81418486-001-22-8:10
17,HOG003_A549_24H:BRD-K81418486-001-32-7:0.0015
18,LTC002_HME1_24H:BRD-K81418486:10
19,LTC003_HME1_3H:BRD-K81418486:0.37037
20,HDAC002_PC3_24H:BRD-K81418486-001-10-3:1.25
21,DOSBIO001_NEU_24H:BRD-K81418486:0.37037
22,HDAC002_HA1E_24H:BRD-K81418486-001-10-3:0.0012207
23,POL001_HT29_24H:O05
24,DEB001_PC3_24H:BRD-K81418486-001-24-4:0.2
25,BRAF001_HEK293T_6H:BRD-K81418486-001-15-2:0.15625
26,DOSBIO002_A549_24H:BRD-K81418486:10
27,POL001_MCF7_24H:O06
28,HDAC002_PC3_6H:BRD-K81418486-001-10-3:0.00488281
29,LTC005_MDAMB231_3H:BRD-K81418486:0.12346
30,RAD001_PC3_24H:BRD-K81418486-001-18-6:0.1235
31,LTC008_MDAMB231_24H:BRD-K81418486:1.1111
32,TAA001_SKNSH_24H:C19
33,POL001_HEPG2_24H:O03
34,POL001_JURKAT_24H:O03
35,HDAC002_HA1E_6H:BRD-K81418486-001-24-4:10
36,CEGS002_HIMG001_24H:C21
37,HDAC002_HA1E_6H:BRD-K81418486-001-10-3:0.00976562
38,RAD001_PC3_24H:BRD-K81418486-001-18-6:3.3333
39,ABY001_H1975_XH:BRD-K81418486:10:24
40,HDAC002_MCF7_6H:BRD-K81418486-001-10-3:10
41,MOA001_U2OS_24H:O11
42,CEGS001_NPC.170_24H:C23
43,HOG001_A549_24H:BRD-K81418486-001-32-7:10
44,MET001_MCF7_XH:BRD-K81418486:10:6
45,HDAC002_PC3_24H:BRD-K81418486-001-24-4:10
46,HDAC002_HA1E_6H:BRD-K81418486-001-10-3:0.3125
47,ABY001_A549_XH:BRD-K81418486:0.625:24
48,RAD001_MCF7_6H:BRD-K81418486-001-18-6:0.3704
49,BRAF001_HEK293T_24H:BRD-K81418486-001-15-2:10
50,DEB001_PC3_6H:BRD-K81418486-001-24-4:5
51,KMS002_NOMO1_24H:B11
52,TSAI001_SAD21NPC2_XH:BRD-K81418486:2.5
53,DOSBIO002_NEU_24H:BRD-K81418486:0.37037
54,HDAC002_HA1E_24H:BRD-K81418486-001-10-3:0.0390625
55,HOG002_A549_24H:BRD-K81418486-001-32-7:10
56,CEGS001_NPC.170_24H:C24
57,HOG003_MCF7_6H:BRD-K81418486-001-32-7:0.0015
58,NMH001_NPC_6H:BRD-K81418486-001-28-5:10
59,DOSBIO002_HT29_24H:BRD-K81418486:3.33333
60,HDAC002_HA1E_6H:BRD-K81418486-001-10-3:0.15625
61,LTC004_HME1_3H:BRD-K81418486:1.1111
62,LTC001_HME1_24H:BRD-K81418486:0.12346
63,LPROT005_MCF10A_6H:BRD-K81418486:1
64,TAA001_SKNSH_24H:N14
